15:26:34 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 499 
15:26:47 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.125 , m_deltaWeight[ 4 ] = -39.97 
15:26:47 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.145 , m_deltaWeight[ 5 ] = 0.0200005 
15:26:47 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.160001 , m_deltaWeight[ 6 ] = 0.0150003 
15:26:47 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.190001 , m_deltaWeight[ 7 ] = 0.0299997 
15:26:47 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.21 , m_deltaWeight[ 8 ] = 0.0199995 
15:26:47 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.225 , m_deltaWeight[ 9 ] = 0.0150003 
15:26:48 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 513 
15:26:48 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 0 ] = 0.0299997 
15:26:48 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0450001 , m_deltaWeight[ 1 ] = 0.0150003 
15:26:48 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0799999 , m_deltaWeight[ 2 ] = 0.0349998 
15:26:48 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0950003 , m_deltaWeight[ 3 ] = 0.0150003 
15:26:48 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = -39.875 , m_deltaWeight[ 4 ] = -39.97 
15:26:48 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = -39.855 , m_deltaWeight[ 5 ] = 0.0200005 
15:26:48 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = -39.84 , m_deltaWeight[ 6 ] = 0.0150003 
15:26:48 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = -39.81 , m_deltaWeight[ 7 ] = 0.0299997 
15:26:48 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = -39.79 , m_deltaWeight[ 8 ] = 0.0199995 
15:26:48 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = -39.775 , m_deltaWeight[ 9 ] = 0.0150003 
15:26:49 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 514 
15:26:49 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 0 ] = 0.0299997 
15:26:49 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0450001 , m_deltaWeight[ 1 ] = 0.0150003 
15:26:49 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0799999 , m_deltaWeight[ 2 ] = 0.0349998 
15:26:49 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0950003 , m_deltaWeight[ 3 ] = 0.0150003 
15:26:49 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.11 , m_deltaWeight[ 4 ] = 0.0149994 
15:26:49 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.13 , m_deltaWeight[ 5 ] = 0.0200005 
15:26:49 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.145 , m_deltaWeight[ 6 ] = 0.0150003 
15:26:49 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.175 , m_deltaWeight[ 7 ] = 0.0299997 
15:26:49 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.195 , m_deltaWeight[ 8 ] = 0.0199995 
